Call Sign,Call Sign.1,Vessel Name,Ship Type,Flag,Vessel Max Draft,Last Port,Next Port,Current Location,Enter Location,Exit Location,IMO,Berth,ATA,EDT,ADT,ETA,WaitingTime,MaxDraft,MaxLOA,BerthLength,ATA_day_Friday,ATA_day_Monday,ATA_day_Saturday,ATA_day_Sunday,ATA_day_Thursday,ATA_day_Tuesday,ATA_day_Wednesday,EDT_day_Friday,EDT_day_Monday,EDT_day_Saturday,EDT_day_Sunday,EDT_day_Thursday,EDT_day_Tuesday,EDT_day_Wednesday,ATA_shift,EDT_shift,ATA_season_autumn,ATA_season_spring,ATA_season_summer,ATA_season_winter,EDT_season_autumn,EDT_season_spring,EDT_season_summer,EDT_season_winter,ATA_inport,Length,Gross Tonnage,Breadth,ATA_berth_delay
V7A4384,V7A4384,PRINCESS GRACE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MAR,7.2,"HAIMEN, ZJ",BALIKPAPAN,SELA,,,9500261,SELA,2023-11-04 04:25:00,2023-11-04 16:00:00,2023-11-04 11:41:00,2023-11-04 04:25:00,7.266666666666667,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1,3,True,False,False,False,True,False,False,False,7,225.0,41345.0,32.0,4.316666666666666
D5DI2,D5DI2,MINOAN FLAME,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIB,10.0,"YANZHOU, HUIZHOU, GD",OPEN SEA,SWLA,,,9147423,SWLA,2023-11-03 04:45:00,2023-11-04 10:53:00,2023-11-03 13:20:00,2023-11-03 04:45:00,8.583333333333334,7.5,400.0,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,2,True,False,False,False,True,False,False,False,6,225.0,38480.0,32.0,21.55
3WBO9,3WBO9,VINACOMIN HALONG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,VNM,8.0,HONGAI,"OTHER, PHILIPPINES",SWLA,,,9581813,SWLA,2024-06-14 06:59:00,2024-06-14 15:00:00,2024-06-14 10:53:00,2024-06-14 06:59:00,3.9,7.5,400.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,2,False,False,True,False,False,False,True,False,4,116.0,5570.0,16.0,4.116666666666666
V7JS6,V7JS6,AD ASTRA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MAR,7.78,"HUANGPU, GD",SINGAPORE,SELA,,,9696400,SELA,2023-11-02 02:30:00,2023-11-02 10:00:00,2023-11-02 06:06:00,2023-11-02 02:30:00,3.6,7.5,400.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,2,True,False,False,False,True,False,False,False,5,228.0,44034.0,32.0,3.9
V7A5092,V7A5092,VIKING DIAMOND,CAR CARRIER,MAR,10.0,PORT KEMBLA,"NANSHA, PANYU",SELA,,,9481075,SELA,2023-11-01 22:13:00,2023-11-03 10:08:00,2023-11-02 06:59:00,2023-11-01 22:13:00,8.766666666666667,7.5,400.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,3,2,True,False,False,False,True,False,False,False,3,167.0,39362.0,28.0,27.15
9V3622,9V3622,KWK LEGACY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SNG,7.98,"ZHUHAI, GD",WALCOTT,SWLA,,,9528653,SWLA,2023-11-02 00:47:00,2023-11-02 05:00:00,2023-11-02 07:15:00,2023-11-02 00:47:00,6.466666666666667,7.5,400.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,1,True,False,False,False,True,False,False,False,5,292.0,94051.0,45.0,2.25
BPBD2,BPBD2,YI PENG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHR,7.2,"SHANTOU, GD","TABONEO, INDONESIA",SELA,,,9224996,SELA,2024-05-11 00:57:00,2024-05-11 08:00:00,2024-05-11 06:05:00,2024-05-11 00:57:00,5.133333333333334,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1,2,False,True,False,False,False,True,False,False,6,225.0,40622.0,32.0,1.9166666666666667
V3EV,V3EV,SHENG JIE 7,GENERAL / HEAVY LIFT CARGO,BZE,5.6,SHIMIZU,CANTHO,SWLA,,,9545493,SWLA,2024-05-09 05:39:00,2024-05-09 14:00:00,2024-05-09 14:52:00,2024-05-09 05:39:00,9.216666666666667,7.5,400.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,2,False,True,False,False,False,True,False,False,7,110.0,4519.0,18.0,0.8666666666666667
V7EU4,V7EU4,SILVER AMANDA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MAR,13.27,MERAK,SINGAPORE,SHELL,,,9682394,SLA,2023-11-02 21:44:00,2023-11-05 23:59:00,2023-11-05 17:18:00,2023-11-02 21:44:00,67.56666666666666,7.5,400.0,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3,3,True,False,False,False,True,False,False,False,3,183.0,29553.0,32.0,6.683333333333334
D5RU8,D5RU8,SOUTHERN MERMAID,CHEMICAL,LIB,5.3,"DONGGUAN, GD",SAGANOSEKI,SLA,,,9724166,SLA,2024-06-17 22:58:00,2024-06-18 13:30:00,2024-06-18 10:49:00,2024-06-17 22:58:00,11.85,7.5,400.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2,False,False,True,False,False,False,True,False,5,134.0,9991.0,23.0,2.683333333333333
